msas,2020-01-21,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05
"Abilene, TX",,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.2857142857142857,1.0,1.0,1.5714285714285714,2.0,2.0,2.4285714285714284,3.0,2.857142857142857,2.857142857142857,3.0,2.7142857142857144,2.7142857142857144,5.142857142857143,5.0,5.0,6.285714285714286,6.428571428571429,6.285714285714286,7.142857142857143,5.571428571428571,12.571428571428571,12.0,11.0,13.0,13.0,16.142857142857142,15.142857142857142,10.142857142857142,12.0,17.285714285714285,17.714285714285715,23.142857142857142,23.142857142857142,22.714285714285715,24.857142857142858,26.0,22.857142857142858,23.714285714285715,19.142857142857142,16.142857142857142,17.0,13.0,10.0,8.285714285714286,4.714285714285714,4.857142857142857,5.428571428571429,4.857142857142857,4.428571428571429,4.428571428571429,3.7142857142857144,4.571428571428571,3.857142857142857,4.714285714285714,-6.714285714285714,-6.857142857142857,-6.857142857142857,-6.857142857142857,-7.857142857142857,-8.0,16.571428571428573,32.42857142857143,39.0,39.0,39.0,68.85714285714286,73.28571428571429,46.714285714285715,42.285714285714285
"Akron, OH",,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.5714285714285714,0.5714285714285714,0.8571428571428571,1.4285714285714286,1.8571428571428572,3.142857142857143,4.0,5.142857142857143,6.142857142857143,7.428571428571429,9.714285714285714,11.857142857142858,14.571428571428571,17.142857142857142,18.428571428571427,20.142857142857142,22.285714285714285,21.714285714285715,22.857142857142858,20.285714285714285,19.0,18.714285714285715,18.714285714285715,17.571428571428573,18.428571428571427,17.0,18.285714285714285,17.571428571428573,17.0,19.0,19.285714285714285,18.571428571428573,18.714285714285715,18.571428571428573,20.571428571428573,21.714285714285715,22.857142857142858,25.857142857142858,26.285714285714285,25.857142857142858,25.571428571428573,24.428571428571427,28.142857142857142,28.857142857142858,27.285714285714285,29.0,33.285714285714285,34.714285714285715,35.142857142857146,33.857142857142854,33.57142857142857,36.0,37.57142857142857,33.142857142857146,31.428571428571427,32.57142857142857,28.571428571428573,25.285714285714285,23.428571428571427,19.857142857142858,18.714285714285715,18.285714285714285,18.428571428571427,19.142857142857142,21.285714285714285,26.285714285714285,30.428571428571427,32.57142857142857,33.42857142857143,32.285714285714285,36.285714285714285,36.142857142857146,29.857142857142858,30.142857142857142,28.571428571428573,30.714285714285715,32.857142857142854,30.142857142857142,27.285714285714285,26.428571428571427,23.142857142857142
"Albany, GA",,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,1.1428571428571428,1.1428571428571428,1.1428571428571428,1.1428571428571428,3.5714285714285716,8.714285714285714,9.142857142857142,9.142857142857142,12.142857142857142,17.714285714285715,21.0,25.571428571428573,27.285714285714285,30.857142857142858,34.0,37.285714285714285,70.28571428571429,71.71428571428571,70.71428571428571,80.0,90.14285714285714,87.28571428571429,88.71428571428571,100.71428571428571,101.85714285714286,103.85714285714286,95.71428571428571,87.42857142857143,99.57142857142857,105.57142857142857,65.57142857142857,65.85714285714286,64.14285714285714,61.285714285714285,60.285714285714285,50.142857142857146,39.42857142857143,34.42857142857143,34.57142857142857,29.142857142857142,21.857142857142858,18.285714285714285,15.571428571428571,15.285714285714286,12.857142857142858,9.428571428571429,11.571428571428571,18.714285714285715,19.142857142857142,19.285714285714285,18.714285714285715,18.285714285714285,17.285714285714285,16.857142857142858,14.857142857142858,14.0,14.428571428571429,14.428571428571429,17.857142857142858,16.571428571428573,13.857142857142858,14.285714285714286,13.428571428571429,12.0,10.285714285714286,5.571428571428571,7.0,13.0,11.142857142857142,11.714285714285714,13.142857142857142,14.857142857142858,21.571428571428573,20.714285714285715,11.285714285714286,9.714285714285714,10.285714285714286,9.285714285714286,10.142857142857142,2.7142857142857144,3.0,7.714285714285714,8.428571428571429
"Albany-Lebanon, OR",,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,1.1428571428571428,1.1428571428571428,1.2857142857142858,1.4285714285714286,1.4285714285714286,2.142857142857143,1.8571428571428572,1.2857142857142858,1.5714285714285714,1.4285714285714286,1.2857142857142858,1.4285714285714286,0.7142857142857143,1.4285714285714286,1.2857142857142858,1.2857142857142858,1.8571428571428572,2.4285714285714284,2.2857142857142856,2.4285714285714284,1.7142857142857142,1.5714285714285714,1.2857142857142858,1.2857142857142858,1.0,1.1428571428571428,1.1428571428571428,1.2857142857142858,1.7142857142857142,1.7142857142857142,1.4285714285714286,1.2857142857142858,1.1428571428571428,1.0,1.0,0.7142857142857143,1.1428571428571428,1.1428571428571428,1.0,1.2857142857142858,1.4285714285714286,1.4285714285714286,1.8571428571428572,1.4285714285714286,1.7142857142857142,2.142857142857143,2.5714285714285716,2.7142857142857144,2.7142857142857144,2.7142857142857144,2.857142857142857,2.2857142857142856,1.8571428571428572,2.5714285714285716,2.4285714285714284,2.4285714285714284,1.8571428571428572,1.8571428571428572,2.142857142857143,2.142857142857143,0.8571428571428571,0.8571428571428571,0.8571428571428571,1.1428571428571428,1.2857142857142858,1.1428571428571428,1.0,0.8571428571428571,0.7142857142857143,0.7142857142857143,0.42857142857142855,0.42857142857142855,0.2857142857142857,1.0,0.8571428571428571,0.8571428571428571,0.7142857142857143,0.7142857142857143,0.42857142857142855,0.42857142857142855,-0.14285714285714285,0.2857142857142857,0.42857142857142855,0.5714285714285714,0.8571428571428571,1.2857142857142858
"Albany-Schenectady-Troy, NY",,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.7142857142857143,0.8571428571428571,1.0,2.0,2.7142857142857144,5.142857142857143,9.428571428571429,11.142857142857142,15.571428571428571,23.857142857142858,30.571428571428573,33.285714285714285,35.0,33.714285714285715,36.714285714285715,36.857142857142854,32.857142857142854,28.142857142857142,27.714285714285715,28.142857142857142,31.285714285714285,31.571428571428573,29.428571428571427,32.714285714285715,34.142857142857146,35.857142857142854,37.714285714285715,34.0,35.42857142857143,46.142857142857146,42.857142857142854,46.285714285714285,47.142857142857146,55.714285714285715,56.42857142857143,57.857142857142854,53.285714285714285,57.142857142857146,57.714285714285715,54.0,43.285714285714285,47.285714285714285,44.142857142857146,46.285714285714285,81.28571428571429,87.14285714285714,92.28571428571429,96.0,100.85714285714286,118.0,116.85714285714286,81.42857142857143,73.0,74.0,67.71428571428571,63.142857142857146,48.0,48.285714285714285,52.142857142857146,49.285714285714285,45.714285714285715,49.42857142857143,46.142857142857146,43.714285714285715,40.285714285714285,36.285714285714285,36.142857142857146,39.142857142857146,40.714285714285715,42.285714285714285,41.714285714285715,45.857142857142854,41.285714285714285,42.142857142857146,37.857142857142854,32.142857142857146,27.857142857142858,27.571428571428573,22.285714285714285,22.857142857142858,23.142857142857142,24.285714285714285,26.428571428571427,29.571428571428573,27.714285714285715,25.285714285714285
"Albuquerque, NM",,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.2857142857142857,0.7142857142857143,1.1428571428571428,1.7142857142857142,2.2857142857142856,2.2857142857142856,2.5714285714285716,3.142857142857143,3.4285714285714284,4.428571428571429,4.142857142857143,4.142857142857143,4.857142857142857,5.285714285714286,5.857142857142857,9.857142857142858,10.0,11.428571428571429,14.714285714285714,16.571428571428573,18.857142857142858,20.857142857142858,25.428571428571427,28.0,34.42857142857143,34.42857142857143,40.42857142857143,42.142857142857146,50.142857142857146,47.285714285714285,48.57142857142857,48.714285714285715,48.57142857142857,43.0,41.285714285714285,36.857142857142854,35.142857142857146,33.0,27.857142857142858,28.571428571428573,29.142857142857142,31.0,29.571428571428573,29.857142857142858,30.428571428571427,31.428571428571427,28.428571428571427,32.0,31.428571428571427,33.285714285714285,32.285714285714285,38.42857142857143,40.57142857142857,43.285714285714285,40.142857142857146,39.42857142857143,37.42857142857143,37.857142857142854,31.0,28.857142857142858,28.142857142857142,28.857142857142858,27.714285714285715,26.428571428571427,27.428571428571427,27.142857142857142,26.285714285714285,24.571428571428573,21.571428571428573,26.428571428571427,26.285714285714285,26.857142857142858,26.571428571428573,26.714285714285715,26.571428571428573,31.142857142857142,27.714285714285715,31.857142857142858,28.0,29.0,27.714285714285715,27.571428571428573,24.142857142857142,24.428571428571427,19.857142857142858,20.428571428571427
"Alexandria, LA",,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.2857142857142857,0.42857142857142855,1.2857142857142858,1.5714285714285714,2.142857142857143,3.7142857142857144,3.5714285714285716,5.142857142857143,5.714285714285714,5.285714285714286,7.0,8.142857142857142,8.0,8.428571428571429,9.714285714285714,9.285714285714286,10.571428571428571,11.285714285714286,10.428571428571429,10.857142857142858,11.571428571428571,9.142857142857142,9.714285714285714,8.571428571428571,6.857142857142857,6.571428571428571,6.571428571428571,5.857142857142857,6.142857142857143,6.571428571428571,6.0,5.428571428571429,5.428571428571429,3.857142857142857,4.428571428571429,5.285714285714286,5.142857142857143,5.571428571428571,6.0,6.0,6.714285714285714,6.428571428571429,5.428571428571429,5.428571428571429,8.0,8.285714285714286,8.857142857142858,7.857142857142857,10.142857142857142,11.571428571428571,12.0,10.142857142857142,9.857142857142858,11.285714285714286,14.571428571428571,12.714285714285714,12.571428571428571,16.428571428571427,19.0,18.857142857142858,18.0,26.0,26.0,24.285714285714285,19.571428571428573,22.857142857142858,23.428571428571427,24.142857142857142,16.285714285714285,15.0,26.285714285714285,26.571428571428573,21.142857142857142,21.428571428571427,21.714285714285715,21.714285714285715,27.571428571428573
"Allentown-Bethlehem-Easton, PA-NJ",,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.5714285714285714,1.2857142857142858,2.142857142857143,4.857142857142857,6.714285714285714,8.714285714285714,10.428571428571429,13.857142857142858,20.285714285714285,28.0,31.714285714285715,41.857142857142854,61.857142857142854,76.28571428571429,100.57142857142857,121.0,145.85714285714286,194.71428571428572,202.28571428571428,214.28571428571428,233.14285714285714,248.0,259.7142857142857,250.42857142857142,214.14285714285714,215.0,199.85714285714286,183.14285714285714,173.14285714285714,156.0,154.28571428571428,156.71428571428572,159.0,153.71428571428572,158.14285714285714,150.71428571428572,148.42857142857142,145.28571428571428,146.71428571428572,139.85714285714286,139.0,148.71428571428572,138.42857142857142,139.42857142857142,138.71428571428572,136.85714285714286,131.85714285714286,131.57142857142858,110.42857142857143,111.14285714285714,103.71428571428571,100.28571428571429,90.28571428571429,94.0,86.28571428571429,85.57142857142857,78.85714285714286,81.14285714285714,74.0,79.0,75.57142857142857,78.42857142857143,76.0,77.28571428571429,73.42857142857143,74.71428571428571,64.85714285714286,64.42857142857143,61.714285714285715,57.142857142857146,55.142857142857146,55.285714285714285,53.285714285714285,52.285714285714285,46.714285714285715,43.42857142857143,46.57142857142857,44.142857142857146,36.857142857142854,32.714285714285715
"Altoona, PA",,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.42857142857142855,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.7142857142857143,0.7142857142857143,0.5714285714285714,0.42857142857142855,0.0,0.0,0.0,0.0,0.42857142857142855,0.5714285714285714,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.8571428571428571,1.0,0.7142857142857143,0.5714285714285714,0.5714285714285714,0.42857142857142855,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.7142857142857143,1.0,1.0,1.0,1.0,1.2857142857142858,1.1428571428571428,0.5714285714285714,0.2857142857142857,0.42857142857142855,0.5714285714285714,0.5714285714285714,0.2857142857142857,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.5714285714285714,0.5714285714285714,0.7142857142857143,0.8571428571428571,0.5714285714285714,0.5714285714285714,0.8571428571428571,1.4285714285714286,1.2857142857142858,1.1428571428571428,1.1428571428571428,1.7142857142857142,2.0,1.7142857142857142,1.1428571428571428,1.4285714285714286,1.4285714285714286,1.2857142857142858,0.7142857142857143,0.42857142857142855,0.5714285714285714,0.5714285714285714,0.2857142857142857,0.42857142857142855,0.5714285714285714,0.42857142857142855,0.5714285714285714
"Amarillo, TX",,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.8571428571428571,0.42857142857142855,0.8571428571428571,1.4285714285714286,1.4285714285714286,4.571428571428571,4.571428571428571,5.428571428571429,6.285714285714286,9.571428571428571,9.428571428571429,9.571428571428571,7.857142857142857,11.142857142857142,12.142857142857142,11.285714285714286,8.714285714285714,8.285714285714286,10.857142857142858,9.428571428571429,9.0,9.857142857142858,11.857142857142858,14.428571428571429,17.428571428571427,17.714285714285715,25.428571428571427,26.714285714285715,33.714285714285715,40.57142857142857,39.0,47.714285714285715,44.714285714285715,55.0,64.28571428571429,73.28571428571429,78.14285714285714,84.85714285714286,83.85714285714286,88.28571428571429,84.71428571428571,80.71428571428571,73.85714285714286,60.142857142857146,55.0,55.142857142857146,76.71428571428571,80.14285714285714,81.28571428571429,174.0,182.28571428571428,178.57142857142858,171.42857142857142,153.0,136.85714285714286,127.85714285714286,29.0,22.428571428571427,22.428571428571427,18.714285714285715,13.571428571428571,14.428571428571429,14.714285714285714,16.428571428571427,15.714285714285714,15.714285714285714,22.428571428571427,34.57142857142857,40.57142857142857,38.714285714285715,70.57142857142857
