msas,2020-01-21,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06
"Abilene, TX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,7,7,11,14,14,18,23,27,27,32,33,33,54,58,62,71,77,77,83,93,146,146,148,168,168,196,199,217,230,269,292,330,358,358,391,412,429,458,464,471,477,482,482,487,491,498,509,511,513,513,513,523,525,542,464,465,465,465,468,469,658,691,738,738,738,950,982,985,987,987
"Akron, OH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,4,4,6,10,15,24,30,40,47,58,78,98,126,150,169,188,214,230,258,268,283,300,319,337,359,377,396,406,419,452,472,489,508,526,550,571,612,653,673,689,705,721,768,814,844,876,922,948,967,1005,1049,1096,1139,1154,1168,1195,1205,1226,1260,1278,1285,1296,1324,1339,1375,1444,1491,1513,1530,1550,1593,1628,1653,1702,1713,1745,1780,1804,1819,1838,1864,1878
"Albany, GA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,8,8,8,9,26,62,65,72,93,132,156,205,253,281,310,354,624,658,700,813,912,921,975,1329,1371,1427,1483,1524,1618,1714,1788,1832,1876,1912,1946,1969,1990,2029,2074,2080,2065,2074,2078,2097,2119,2140,2161,2196,2208,2213,2228,2247,2261,2279,2300,2306,2314,2329,2372,2377,2376,2400,2400,2398,2401,2411,2426,2467,2478,2482,2490,2505,2562,2571,2546,2546,2554,2555,2576,2581,2592,2600,2605,2618
"Albany-Lebanon, OR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,8,9,10,10,15,15,17,19,19,19,20,20,25,26,28,32,36,36,37,37,37,37,41,43,44,45,46,49,49,51,52,52,52,53,54,57,59,59,61,62,63,67,67,71,74,79,81,82,86,87,87,87,97,98,99,99,100,102,102,103,104,105,107,109,110,109,109,109,110,110,112,112,116,115,115,115,115,115,115,115,117,118,119,121,124,124
"Albany-Schenectady-Troy, NY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,5,6,9,16,21,38,68,83,115,176,230,254,283,304,340,373,406,427,448,480,523,561,579,635,666,699,744,761,809,902,935,990,1029,1134,1156,1214,1275,1335,1394,1407,1437,1487,1523,1599,1904,2004,2053,2109,2193,2349,2417,2474,2515,2571,2583,2635,2685,2755,2839,2860,2891,2929,2958,2991,3037,3093,3113,3165,3214,3254,3283,3358,3382,3408,3430,3439,3449,3476,3514,3542,3570,3600,3624,3656,3670,3691,3717
"Albuquerque, NM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,8,12,16,16,19,24,29,39,41,45,50,56,65,98,109,121,148,166,188,211,276,305,362,389,449,483,562,607,645,703,729,750,772,820,853,876,898,929,954,989,1027,1062,1089,1118,1128,1178,1209,1260,1288,1358,1402,1431,1459,1485,1522,1553,1575,1604,1628,1661,1679,1707,1745,1765,1788,1800,1812,1864,1891,1933,1951,1975,1986,2030,2058,2114,2129,2154,2169,2179,2199,2229,2253,2272,2295
"Alexandria, LA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,9,11,15,26,27,38,43,46,60,72,82,86,106,108,120,139,145,158,167,170,176,180,187,191,204,208,213,222,222,225,229,231,239,250,258,261,267,271,278,284,288,296,317,325,333,333,355,369,380,388,394,412,435,444,457,495,521,526,538,617,626,627,632,681,690,707,731,731,811,818,829,840,859,883,924,962
"Allentown-Bethlehem-Easton, PA-NJ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,4,10,16,35,49,63,76,101,152,212,257,342,496,610,805,999,1233,1620,1758,1996,2242,2541,2817,2986,3119,3263,3395,3524,3753,3909,4066,4216,4376,4471,4631,4808,4948,5083,5243,5355,5444,5672,5777,5924,6054,6201,6278,6365,6445,6555,6650,6756,6833,6936,6969,7044,7107,7218,7274,7386,7465,7518,7576,7648,7732,7797,7840,7916,7950,7976,8034,8119,8170,8206,8243,8254,8302,8343,8377,8399,8428
"Altoona, PA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,6,6,6,6,6,6,6,6,6,6,6,9,10,10,11,11,12,13,14,14,14,14,14,14,15,19,21,21,21,21,23,23,23,23,24,25,25,25,28,28,28,28,29,30,31,32,32,34,38,38,38,39,44,46,46,46,48,48,48,49,49,50,50,50,51,52,52,53,53
"Amarillo, TX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,6,6,9,13,13,35,35,44,50,76,79,80,90,113,129,129,137,137,156,156,176,198,212,238,259,280,334,363,434,496,511,593,593,719,813,947,1043,1105,1180,1211,1312,1378,1464,1464,1490,1566,1748,1873,1947,2682,2740,2740,2766,2819,2831,2842,2885,2897,2897,2897,2914,2932,2945,3000,3007,3007,3054,3156,3216,3216,3494,3497
"Ames, IA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,3,3,3,3,5,6,7,7,8,8,9,9,11,11,11,11,12,15,15,20,21,21,24,26,25,26,28,28,28,30,32,34,37,39,47,55,56,66,67,69,85,87,89,92,97,100,106,107,114,116,117,121,127,132,136,141,141,149,150,150,154,157,165,172,178,182,185,185,198,207,217
"Anchorage, AK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,4,4,4,5,6,19,19,30,35,45,56,61,64,68,71,70,77,85,89,92,102,108,115,121,131,141,145,151,154,158,165,168,172,174,179,184,186,188,188,188,192,196,200,200,206,206,208,210,211,211,212,215,215,215,216,217,217,220,221,223,225,228,228,229,229,229,231,231,231,234,234,238,240,242,261,264,279,292,298,313,317
"Ann Arbor, MI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,7,7,7,7,14,16,29,34,42,50,72,92,150,185,231,266,311,401,438,477,501,521,543,561,610,637,659,685,716,736,772,798,826,855,870,870,878,900,912,960,974,1002,1001,1004,1033,1049,1075,1091,1101,1113,1118,1123,1129,1140,1160,1176,1182,1192,1206,1210,1231,1236,1241,1242,1245,1251,1261,1265,1275,1282,1294,1298,1301,1305,1313,1318,1331,1336,1608,1611,1612,1618,1632,1632
